id,Fattening_group.Pen,age,weight,dfi,cfi
100,202004-93,15,48.5,1.416,56.56577146075645
100,202004-93,16,49.0,1.718,58.283771460756455
100,202004-93,17,50.5,1.668,59.951771460756454
100,202004-93,18,51.0,1.739,61.69077146075645
100,202004-93,19,52.0,1.623,63.31377146075645
100,202004-93,20,53.0,2.155,65.46877146075644
100,202004-93,21,54.5,1.896,67.36477146075644
100,202004-93,22,55.5,2.202,69.56677146075644
100,202004-93,23,56.0,1.834,71.40077146075645
100,202004-93,24,57.0,1.973,73.37377146075644
100,202004-93,25,58.0,1.778,75.15177146075645
100,202004-93,26,58.75,1.951,77.10277146075644
100,202004-93,27,60.0,2.02,79.12277146075644
100,202004-93,28,61.5,2.122,81.24477146075644
100,202004-93,29,61.5,1.741,82.98577146075644
100,202004-93,30,63.0,2.531,85.51677146075644
100,202004-93,31,64.0,2.26,87.77677146075645
100,202004-93,32,65.265,0.49,88.26677146075644
100,202004-93,33,66.5,1.433,89.69977146075645
100,202004-93,34,68.25,2.119,91.81877146075645
100,202004-93,35,68.5,2.09,93.90877146075645
100,202004-93,36,69.0,1.998,95.90677146075646
100,202004-93,37,70.5,2.58,98.48677146075646
100,202004-93,38,70.5,2.425,100.91177146075646
100,202004-93,39,72.0,2.074,102.98577146075645
100,202004-93,40,73.5,2.389,105.37477146075645
100,202004-93,41,75.0,2.235,107.60977146075645
100,202004-93,42,76.0,2.425,110.03477146075645
100,202004-93,43,76.75,2.286,112.32077146075645
100,202004-93,44,78.5,2.501,114.82177146075645
100,202004-93,45,79.25,2.296,117.11777146075646
100,202004-93,46,80.0,2.166,119.28377146075645
100,202004-93,47,81.0,2.571,121.85477146075645
100,202004-93,48,82.0,2.469,124.32377146075645
100,202004-93,49,84.0,2.425,126.74877146075644
100,202004-93,50,84.25,2.473,129.22177146075646
100,202004-93,51,86.0,2.503,131.72477146075647
100,202004-93,52,86.5,2.75,134.47477146075647
100,202004-93,53,88.25,2.647,137.12177146075646
100,202004-93,54,88.5,1.675,138.79677146075647
100,202004-93,55,90.0,3.307,142.10377146075646
100,202004-93,56,91.0,2.364,144.46777146075647
100,202004-93,57,91.0,1.815,146.28277146075646
100,202004-93,58,92.25,2.735,149.01777146075648
100,202004-93,59,93.5,2.272,151.28977146075647
100,202004-93,60,94.5,2.013,153.30277146075647
100,202004-93,61,94.25,2.775,156.07777146075648
100,202004-93,62,95.5,2.942,159.0197714607565
100,202004-93,63,97.25,1.744,160.7637714607565
100,202004-93,64,100.5,3.813,164.57677146075648
100,202004-93,65,99.5,2.547,167.12377146075647
100,202004-93,66,100.75,2.295,169.41877146075646
100,202004-93,67,100.75,2.356,171.77477146075645
100,202004-93,68,102.5,3.11,174.88477146075647
100,202004-93,69,104.5,3.027,177.91177146075646
100,202004-93,70,104.625,2.478,180.38977146075646
100,202004-93,71,105.0,2.5,182.88977146075646
100,202004-93,72,107.5,2.449,185.33877146075648
100,202004-93,73,107.871,2.658,187.99677146075646
100,202004-93,74,108.908,2.664,190.66077146075645
100,202004-93,75,109.946,2.67,193.33077146075644
100,202004-93,76,111.0,2.566,195.89677146075644
100,202004-93,77,112.0,2.79,198.68677146075643
46,202004-93,1,28.5,0.533,27.109717990590735
46,202004-93,2,29.0,1.216,28.325717990590736
46,202004-93,3,29.0,1.275,29.600717990590734
46,202004-93,4,30.0,1.27,30.870717990590734
46,202004-93,5,30.5,1.482,32.35271799059073
46,202004-93,6,31.5,1.508,33.860717990590736
46,202004-93,7,32.25,1.373,35.23371799059073
46,202004-93,8,33.0,1.394,36.62771799059073
46,202004-93,9,33.5,1.625,38.25271799059073
46,202004-93,10,34.0,1.708,39.96071799059073
46,202004-93,11,35.0,1.421,41.38171799059073
46,202004-93,12,36.0,1.625,43.00671799059073
46,202004-93,13,37.0,1.655,44.66171799059073
46,202004-93,14,38.0,1.802,46.46371799059073
46,202004-93,15,38.5,1.621,48.08471799059073
46,202004-93,16,39.0,1.759,49.84371799059073
46,202004-93,17,39.25,1.693,51.53671799059073
46,202004-93,18,41.0,2.002,53.53871799059073
46,202004-93,19,42.0,1.838,55.376717990590734
46,202004-93,20,42.5,1.703,57.07971799059074
46,202004-93,21,43.5,1.594,58.67371799059074
46,202004-93,22,44.5,1.771,60.44471799059074
46,202004-93,23,45.5,1.981,62.42571799059074
46,202004-93,24,46.5,1.908,64.33371799059074
46,202004-93,25,47.0,1.865,66.19871799059074
46,202004-93,26,48.0,2.179,68.37771799059074
46,202004-93,27,48.5,1.848,70.22571799059074
46,202004-93,28,49.75,2.073,72.29871799059073
46,202004-93,29,51.0,2.224,74.52271799059073
46,202004-93,30,51.5,2.228,76.75071799059073
46,202004-93,31,52.75,2.165,78.91571799059074
46,202004-93,32,53.5,2.189,81.10471799059073
46,202004-93,33,54.5,2.233,83.33771799059073
46,202004-93,34,55.75,1.952,85.28971799059073
46,202004-93,35,57.0,2.426,87.71571799059073
46,202004-93,36,58.5,2.238,89.95371799059073
46,202004-93,37,58.5,2.091,92.04471799059073
46,202004-93,38,59.0,2.187,94.23171799059072
46,202004-93,39,60.5,2.077,96.30871799059072
46,202004-93,40,61.5,2.284,98.59271799059073
46,202004-93,41,62.75,2.097,100.68971799059072
46,202004-93,42,64.0,2.146,102.83571799059072
46,202004-93,43,65.5,2.647,105.48271799059073
46,202004-93,44,66.0,2.269,107.75171799059073
46,202004-93,45,67.0,2.324,110.07571799059073
46,202004-93,46,68.5,2.071,112.14671799059073
46,202004-93,47,68.0,2.246,114.39271799059073
46,202004-93,48,70.0,2.696,117.08871799059072
46,202004-93,49,71.0,1.993,119.08171799059072
46,202004-93,50,72.0,2.558,121.63971799059073
46,202004-93,51,72.5,2.241,123.88071799059072
46,202004-93,52,74.0,2.668,126.54871799059073
46,202004-93,53,75.0,2.125,128.67371799059072
46,202004-93,54,75.0,2.507,131.18071799059072
